loss,accuracy,val_loss,val_accuracy
0.5072225332260132,0.7557480931282043,0.5905290842056274,0.7113921046257019
0.43294501304626465,0.7703970670700073,0.6011903285980225,0.7138034701347351
0.4223853349685669,0.7717171311378479,0.5789632797241211,0.7203943729400635
0.41418689489364624,0.7726655006408691,0.5343894958496094,0.7191083431243896
0.4043743312358856,0.7798298001289368,0.5364235043525696,0.7310041785240173
0.39889559149742126,0.7802271246910095,0.5971091389656067,0.7217339873313904
0.3912264406681061,0.7884294986724854,0.5463148355484009,0.730789840221405
0.38661158084869385,0.7902878522872925,0.6152404546737671,0.7404887080192566
0.3838270306587219,0.7935303449630737,0.5741572380065918,0.7381845712661743
0.37864330410957336,0.7942095994949341,0.5782757997512817,0.7410245537757874
0.37897396087646484,0.7971829771995544,0.5563890933990479,0.7420962452888489
0.37138962745666504,0.7978237867355347,0.6371155977249146,0.741506814956665
0.37058547139167786,0.7998102903366089,0.5689618587493896,0.7504019141197205
0.3698273301124573,0.8002460598945618,0.5645984411239624,0.7499731779098511
0.37160584330558777,0.7997205853462219,0.6045268177986145,0.7453113198280334
0.36927706003189087,0.7986953258514404,0.5863288640975952,0.7444003820419312
0.365073025226593,0.8018993735313416,0.6448057293891907,0.7410245537757874
0.3604739010334015,0.8042319416999817,0.6701509952545166,0.7465973496437073
0.3642454743385315,0.802706778049469,0.6203879117965698,0.7438645362854004
0.36182668805122375,0.8001563549041748,0.630321741104126,0.743596613407135
